    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
    2    3        11   10        0.34529        227.634        226.000          -10.292          -10.608         0.14142E+00    0.14445E+00    1
    3    4        12   11        0.35148        216.624        215.037          -10.370          -10.718         0.14142E+00    0.14466E+00    1
    4    5        13   12        0.34996        208.189        206.738          -10.420          -10.746         0.14142E+00    0.14142E+00    0
    5    6        14   13        0.22812        198.509        197.607          -10.449          -10.723         0.14142E+00    0.14142E+00    0
    6    7        15   14        0.03502        188.842        188.965          -10.465          -10.710         0.14142E+00    0.14142E+00    0
    7    8        16   15        0.37714        179.694        181.053          -10.492          -10.747         0.14142E+00    0.14142E+00    0
    8    9        17   16        0.81384        165.017        167.724          -10.562          -10.839         0.14142E+00    0.14142E+00    0
    9   10        18   17        1.03993        154.054        157.817          -10.622          -10.927         0.14142E+00    0.15235E+00    1
   10   11        19   18        1.23390        138.981        143.618          -10.741          -11.085         0.14142E+00    0.16310E+00    1
   11   12        20   19        1.39144        123.337        128.242          -10.911          -11.333         0.14142E+00    0.16744E+00    1
   12   13        21   20        1.40064        108.681        113.005          -11.095          -11.593         0.14142E+00    0.16692E+00    1
   13   14        22   21        1.32286         94.151         97.232          -11.347          -11.872         0.14142E+00    0.15607E+00    1
   14   15        23   22        1.26242         79.957         82.000          -11.669          -12.143         0.14142E+00    0.14142E+00    0
   15   16        24   23        0.91450         67.448         68.693          -12.049          -12.174         0.14142E+00    0.14142E+00    0
    1    2        11   10        0.32211        217.575        216.125          -10.464          -10.602         0.14142E+00    0.14405E+00    1
    2    3        12   11        0.33301        205.670        204.066          -10.569          -10.842         0.14142E+00    0.15337E+00    1
    3    4        13   12        0.32585        193.819        192.382          -10.657          -10.986         0.14142E+00    0.15114E+00    1
    4    5        14   13        0.16778        183.449        182.837          -10.710          -11.020         0.14142E+00    0.14142E+00    0
    5    6        15   14        0.18254        171.134        171.758          -10.761          -11.023         0.14142E+00    0.14142E+00    0
    6    7        16   15        0.62613        160.188        162.206          -10.808          -11.080         0.14142E+00    0.14142E+00    0
