    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   46   26        50   28        0.22810         13.920         13.762           -2.602           -2.583         0.22361E+00    0.22361E+00    0
   43   23        50   29        1.31732          9.379         10.087           -2.702           -2.756         0.22361E+00    0.23509E+00    1
   45   24        50   29        0.96368          8.329          8.741           -2.700           -2.730         0.22361E+00    0.22369E+00    1
   46   26        50   29        0.53767         10.876         11.173           -2.663           -2.625         0.22361E+00    0.22361E+00    0
   43   23        50   30        0.19238          9.182          9.094           -2.760           -2.836         0.22361E+00    0.22361E+00    0
   45   24        50   30        0.29603          7.285          7.393           -2.719           -2.812         0.22361E+00    0.22361E+00    0
   46   26        50   30        0.31303          9.037          9.180           -2.653           -2.694         0.22361E+00    0.22361E+00    0
   47   28        50   30        0.57542         12.991         12.623           -2.581           -2.588         0.22361E+00    0.22361E+00    0
   43   23        50   31        1.34504          7.702          8.325           -2.963           -2.927         0.22361E+00    0.24050E+00    1
   45   24        50   31        1.34190          5.887          6.370           -2.860           -2.906         0.22361E+00    0.24223E+00    1
   46   26        50   31        0.58864          7.450          7.672           -2.626           -2.774         0.22361E+00    0.22361E+00    0
   47   28        50   31        1.59675          9.193         10.145           -2.619           -2.660         0.22361E+00    0.24842E+00    1
   43   23        50   32        1.39871          7.048          7.680           -3.068           -3.030         0.22361E+00    0.24781E+00    1
   45   24        50   32        0.35820          5.653          5.552           -2.971           -3.013         0.22361E+00    0.22361E+00    0
   46   26        50   32        0.89788          6.207          6.492           -2.825           -2.869         0.22361E+00    0.22361E+00    0
   47   28        50   32        1.52538          7.507          8.253           -2.675           -2.750         0.22361E+00    0.24915E+00    1
   43   23        50   33        0.15479          7.015          7.070           -3.184           -3.147         0.22361E+00    0.22361E+00    0
   45   24        50   33        1.66501          4.264          4.845           -3.115           -3.136         0.22361E+00    0.27688E+00    1
   46   26        50   33        0.12277          5.461          5.494           -2.899           -2.979         0.22361E+00    0.22361E+00    0
   47   28        50   33        0.15073          6.651          6.701           -2.920           -2.859         0.22361E+00    0.22361E+00    0
   43   23        50   35        1.36734          6.495          6.066           -3.452           -3.404         0.22361E+00    0.22361E+00    0
   45   24        50   35        1.74946          3.288          3.808           -3.366           -3.408         0.22361E+00    0.28968E+00    1
   46   26        50   35        0.06731          4.070          4.084           -3.307           -3.236         0.22361E+00    0.22361E+00    0
   47   28        50   35        0.01213          4.620          4.623           -2.927           -3.127         0.22361E+00    0.22361E+00    0
   43   23        50   36        0.37279          5.542          5.648           -3.513           -3.540         0.22361E+00    0.22551E+00    1
   45   24        50   36        1.21290          3.194          3.422           -3.569           -3.554         0.22361E+00    0.23856E+00    1
   46   26        50   36        1.14441          3.786          3.575           -3.188           -3.380         0.22361E+00    0.22361E+00    0
   47   28        50   36        0.53694          4.019          3.912           -3.091           -3.285         0.22361E+00    0.22361E+00    0
   43   23        50   37        0.27547          5.195          5.270           -3.689           -3.685         0.22361E+00    0.22835E+00    1
   45   24        50   37        0.96023          3.245          3.093           -3.640           -3.710         0.22361E+00    0.22361E+00    0
   46   26        50   37        0.59918          3.048          3.149           -3.446           -3.539         0.22361E+00    0.23309E+00    1
   47   28        50   37        1.42129          2.994          3.334           -3.299           -3.467         0.22361E+00    0.27517E+00    1
   43   23        50   38        1.08684          4.646          4.944           -3.892           -3.827         0.22361E+00    0.23917E+00    1
   45   24        50   38        1.33141          2.582          2.824           -3.915           -3.867         0.22361E+00    0.25935E+00    1
   46   26        50   38        0.11851          2.788          2.806           -3.717           -3.703         0.22361E+00    0.23403E+00    1
   47   28        50   38        1.49550          2.538          2.881           -3.523           -3.660         0.22361E+00    0.29115E+00    1
   43   23        50   39        0.78729          4.457          4.664           -4.094           -3.969         0.22361E+00    0.24031E+00    1
   45   24        50   39        0.35947          2.547          2.600           -3.960           -4.024         0.22361E+00    0.24045E+00    1
