    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   19   15         3    7        0.66552        126.769        124.280          -16.800          -14.750         0.17321E+00    0.17321E+00    0
   19   15         4    8        0.46220        190.110        187.493          -11.400          -11.922         0.17321E+00    0.17321E+00    0
   19   15        49   53       12.02473       -161.733       -112.764          -14.000           -8.968         0.17321E+00    0.17321E+00    0
   20   16         3    7        0.79311        130.262        127.220          -16.700          -14.282         0.17321E+00    0.17321E+00    0
   20   16         4    8        0.66496        196.903        193.014          -11.100          -11.482         0.17321E+00    0.17321E+00    0
   21   17         3    7        0.48007        128.182        126.378          -16.000          -13.667         0.17321E+00    0.17321E+00    0
   21   17         4    8        0.41386        194.788        192.384          -10.800          -10.886         0.17321E+00    0.17321E+00    0
   22   18         3    7        0.17329        119.537        119.008          -16.100          -13.448         0.17321E+00    0.17321E+00    0
   22   18         4    8        0.16444        182.959        182.068          -11.300          -10.668         0.17321E+00    0.17321E+00    0
   23   19         3    7        0.23664         96.713         96.107          -16.700          -13.486         0.17321E+00    0.17321E+00    0
   23   19         4    8        0.11230        148.305        147.811          -10.200          -10.716         0.17321E+00    0.17321E+00    0
   24   20         3    7        0.49485         83.106         81.915          -17.500          -14.253         0.17321E+00    0.17321E+00    0
   24   20         4    8        0.48691        128.680        126.814          -11.300          -11.462         0.17321E+00    0.17321E+00    0
   25   21         3    7        0.32732         55.028         54.632          -22.600          -16.088         0.17321E+00    0.17321E+00    0
   25   21         4    8        0.31977         85.500         84.685          -13.800          -13.312         0.17321E+00    0.17321E+00    0
   26   22         3    7        0.17434         35.215         35.113          -22.300          -18.007         0.17321E+00    0.17321E+00    0
   26   22         4    8        0.41163         54.672         54.004          -16.200          -15.291         0.17321E+00    0.17321E+00    0
   27   23         3    7        0.23063         40.082         40.357          -19.400          -18.288         0.17321E+00    0.17321E+00    0
   27   23         4    8        0.19042         62.449         62.094          -15.100          -15.610         0.17321E+00    0.17321E+00    0
   28   24         3    7        0.14113         41.464         41.627          -19.800          -18.095         0.17321E+00    0.17321E+00    0
   28   24         4    8        0.29970         64.632         64.055          -14.600          -15.457         0.17321E+00    0.17321E+00    0
   29   25         3    7        0.18078         40.047         40.226          -20.700          -17.506         0.17321E+00    0.17321E+00    0
   29   25         4    8        0.14944         62.161         61.910          -16.800          -14.901         0.17321E+00    0.17321E+00    0
   30   26         3    7        0.14499         39.022         38.991          -20.800          -16.537         0.17321E+00    0.17321E+00    0
   30   26         4    8        0.66986         61.154         59.938          -14.400          -13.960         0.17321E+00    0.17321E+00    0
   31   27         3    7        0.10869         38.414         38.404          -18.800          -15.554         0.17321E+00    0.17321E+00    0
   32   28         4    8        0.81672         63.088         61.561          -12.000          -12.180         0.17321E+00    0.17321E+00    0
   48   52        49   53        0.30230        143.933        142.657          -12.700          -14.541         0.17321E+00    0.17321E+00    0
   49   53         3    7        0.98750         85.657         83.156          -18.300          -18.778         0.17321E+00    0.17321E+00    0
   50   54         3    7        0.21179        150.070        149.257          -20.900          -17.715         0.17321E+00    0.17321E+00    0
   50   54         4    8        0.04914        248.748        248.460          -16.800          -15.908         0.17321E+00    0.17321E+00    0
   50   54        52   56        0.76124        180.689        176.614          -12.700          -11.843         0.17321E+00    0.17321E+00    0
   50   54        49   53        0.10136        212.262        211.685          -10.700          -12.088         0.17321E+00    0.17321E+00    0
   51   55         3    7        0.27239        225.639        223.955          -20.100          -16.971         0.17321E+00    0.17321E+00    0
   51   55         4    8        0.25064        369.130        366.157          -16.100          -15.189         0.17321E+00    0.18035E+00    1
   51   55        53   57        0.33908        139.051        137.654           -9.900          -11.248         0.17321E+00    0.17321E+00    0
   52   56         3    7        0.21335        273.114        271.402          -18.400          -16.737         0.17321E+00    0.17498E+00    1
   52   56         4    8        0.23402        437.018        433.491          -15.400          -14.959         0.17321E+00    0.18629E+00    1
   53   57         3    7        0.25085        264.221        262.172          -17.300          -16.568         0.17321E+00    0.17669E+00    1
   53   57         4    8        0.30730        411.950        407.581          -16.100          -14.773         0.17321E+00    0.18716E+00    1
   57   53        48   52        0.51893        199.587        196.513          -11.900          -13.247         0.17321E+00    0.17321E+00    0
   54   58         3    7        0.45730        218.292        215.342          -14.000          -16.483         0.17321E+00    0.17368E+00    1
   58   54        48   52        0.41588        180.065        177.841          -14.300          -13.382         0.17321E+00    0.17321E+00    0
   58   54        49   53        0.04418        340.360        340.500           -9.700          -10.956         0.17321E+00    0.17321E+00    0
   55   59         4    8        0.37569        215.349        213.018          -17.900          -15.139         0.17321E+00    0.17321E+00    0
   59   55        48   52        0.41759        122.445        120.977          -17.600          -14.409         0.17321E+00    0.17321E+00    0
   59   55        49   53        0.48174        244.006        240.526          -13.500          -12.104         0.17321E+00    0.17321E+00    0
   60   56        48   52        0.46257         72.277         73.258          -18.700          -14.572         0.17321E+00    0.17421E+00    1
   60   56        49   53        0.23034        133.573        134.407          -15.500          -12.414         0.17321E+00    0.17321E+00    0
   61   57        48   52        0.28793         76.972         77.631          -15.600          -14.076         0.17321E+00    0.17321E+00    0
   61   57        49   53        0.10084        136.388        136.797          -12.400          -11.917         0.17321E+00    0.17321E+00    0
   62   58        48   52        0.11746         94.542         94.875          -14.100          -13.801         0.17321E+00    0.17321E+00    0
   62   58        49   53        0.16559        166.288        165.480          -10.600          -11.650         0.17321E+00    0.17321E+00    0
   63   59        48   52        0.21649         96.755         97.384          -13.600          -13.134         0.17321E+00    0.17321E+00    0
   63   59        49   53        0.15140        169.110        168.364           -9.900          -10.992         0.17321E+00    0.17321E+00    0
   64   60        48   52        0.26160        104.474        105.297          -12.700          -12.636         0.17321E+00    0.17321E+00    0
   64   60        49   53        0.19479        182.591        181.565           -8.900          -10.511         0.17321E+00    0.17321E+00    0
   65   61         4    8        0.20135       -237.094       -239.777           -4.200           -1.044         0.17321E+00    0.24081E+00    1
   65   61        48   52        0.14333        109.628        110.099          -12.400          -12.036         0.17321E+00    0.17321E+00    0
   65   61        49   53        0.36070        191.419        189.371           -8.600           -9.905         0.17321E+00    0.17321E+00    0
   66   62        48   52        0.43972        112.859        111.382          -10.600          -11.495         0.17321E+00    0.17321E+00    0
   66   62        49   53        1.02324        197.392        191.440           -6.900           -9.337         0.17321E+00    0.17321E+00    0
   67   63        48   52        0.24453        104.824        105.591          -10.600          -11.346         0.17321E+00    0.17321E+00    0
   67   63        49   53        0.36861        184.272        182.302           -6.500           -9.168         0.17321E+00    0.17321E+00    0
   71   67        49   53        0.39572         48.970         48.396          -10.700          -12.296         0.17321E+00    0.17321E+00    0
   77   73        49   53        0.10267         51.956         51.802          -10.400          -11.308         0.17321E+00    0.17321E+00    0
    5    9         4    8        0.36654        246.954        244.264          -11.400          -12.544         0.17321E+00    0.17321E+00    0
    5    9        49   53        0.55332        239.144        235.223          -12.400          -14.098         0.17321E+00    0.17321E+00    0
   11    7         4    8        0.23272        388.257        385.556          -14.800          -14.950         0.17321E+00    0.17321E+00    0
