    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   43   23        53   35        0.15793         22.207         22.033          -12.490          -11.965         0.22361E+00    0.22361E+00    0
   45   24        53   35        0.06460         17.433         17.378          -12.735          -12.039         0.22361E+00    0.22361E+00    0
   46   26        53   35        0.14198         19.805         19.946          -11.705          -11.414         0.22361E+00    0.22361E+00    0
   47   28        53   35        0.78341         25.072         24.109          -10.560          -10.189         0.22361E+00    0.22361E+00    0
   49   29        53   35        0.14584         16.881         17.004           -9.520           -9.947         0.22361E+00    0.22361E+00    0
   50   30        53   35        0.13004         13.192         13.277           -8.625           -9.710         0.22361E+00    0.22361E+00    0
   43   23        53   36        0.15479         21.825         21.657          -12.545          -12.110         0.22361E+00    0.22361E+00    0
   45   24        53   36        0.08497         16.560         16.491          -12.830          -12.214         0.22361E+00    0.22361E+00    0
   46   26        53   36        0.08339         19.032         19.112          -11.745          -11.640         0.22361E+00    0.22361E+00    0
   47   28        53   36        0.75881         24.382         23.475          -10.820          -10.458         0.22361E+00    0.22361E+00    0
   49   29        53   36        0.18287         15.701         15.845           -9.845          -10.284         0.22361E+00    0.22361E+00    0
   50   30        53   36        0.26363         12.068         12.228           -9.035          -10.102         0.22361E+00    0.22361E+00    0
   43   23        53   37        0.04471         21.248         21.201          -12.050          -12.237         0.22361E+00    0.22361E+00    0
   45   24        53   37        0.03333         15.583         15.608          -12.700          -12.369         0.22361E+00    0.22361E+00    0
   46   26        53   37        0.19192         18.034         18.207          -11.700          -11.842         0.22361E+00    0.22361E+00    0
   47   28        53   37        0.56530         23.297         22.647          -10.675          -10.701         0.22361E+00    0.22361E+00    0
   49   29        53   37        0.40942         14.380         14.677           -9.650          -10.593         0.22361E+00    0.22361E+00    0
   50   30        53   37        0.58193         10.888         11.209           -8.940          -10.463         0.22361E+00    0.22361E+00    0
   43   23        53   38        0.09244         20.564         20.660          -12.380          -12.350         0.22361E+00    0.22361E+00    0
