    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   10   11        22   21        0.57434        109.767        111.035          -15.488          -15.521         0.14142E+00    0.14142E+00    0
   11   12        23   22        0.50857        106.403        107.491          -15.449          -15.474         0.14142E+00    0.14142E+00    0
   12   13        24   23        0.26970        104.324        104.888          -15.416          -15.410         0.14142E+00    0.14142E+00    0
    1    3         7    5        1.14644         64.112         62.659          -14.275          -14.203         0.14142E+00    0.14142E+00    0
    2    4         8    6        0.47906         47.790         47.267          -13.768          -13.744         0.14142E+00    0.15164E+00    1
    3    5         9    7        1.58245         44.331         42.383          -13.721          -13.613         0.14142E+00    0.16852E+00    1
    4    6        10    8        1.87203         47.777         45.293          -13.768          -13.664         0.14142E+00    0.16890E+00    1
    5    7        11    9        1.18657         63.996         62.495          -14.274          -14.271         0.14142E+00    0.14142E+00    0
    6    8        12   10        0.53555         90.881         91.859          -14.882          -14.931         0.14142E+00    0.14142E+00    0
    7    9        13   11        0.39188        105.040        105.866          -15.099          -15.115         0.14142E+00    0.14142E+00    0
    8   10        14   12        0.14436        104.944        104.641          -15.093          -15.080         0.14142E+00    0.14142E+00    0
    9   11        15   13        0.27623        102.112        101.550          -15.049          -15.028         0.14142E+00    0.14142E+00    0
   10   12        16   14        0.15102        100.624        100.321          -15.023          -15.006         0.14142E+00    0.14142E+00    0
   11   13        17   15        0.03995         99.901         99.821          -15.011          -14.999         0.14142E+00    0.14142E+00    0
   12   14        18   16        0.04223         99.482         99.566          -15.005          -14.998         0.14142E+00    0.14142E+00    0
   13   15        19   17        0.08506         99.293         99.462          -15.004          -15.004         0.14142E+00    0.14142E+00    0
   14   16        20   18        0.08954         99.179         99.357          -15.004          -15.001         0.14142E+00    0.14142E+00    0
   15   17        21   19        0.02897         99.131         99.188          -15.004          -14.997         0.14142E+00    0.14142E+00    0
   16   18        22   20        0.02386         99.075         99.122          -15.003          -14.997         0.14142E+00    0.14142E+00    0
   17   19        23   21        0.00251         99.065         99.070          -15.000          -14.997         0.14142E+00    0.14142E+00    0
   18   20        24   22        0.07586         99.139         98.988          -14.997          -14.997         0.14142E+00    0.14142E+00    0
    1    3         9    7        1.73785         36.495         38.051          -12.543          -12.654         0.14142E+00    0.15501E+00    1
    2    4        10    8        0.68579         38.982         39.652          -12.543          -12.626         0.14142E+00    0.15769E+00    1
    3    5        11    9        0.39783         36.419         36.812          -12.540          -12.596         0.14142E+00    0.16431E+00    1
    4    6        12   10        0.05284         36.662         36.606          -12.829          -12.834         0.14142E+00    0.16923E+00    1
    5    7        13   11        0.39846         52.225         51.779          -13.843          -13.835         0.14142E+00    0.14670E+00    1
    6    8        14   12        0.29066         85.459         84.964          -14.815          -14.817         0.14142E+00    0.14142E+00    0
    7    9        15   13        0.07188        108.179        108.023          -15.153          -15.147         0.14142E+00    0.14142E+00    0
    8   10        16   14        0.01023        110.349        110.327          -15.166          -15.152         0.14142E+00    0.14142E+00    0
    9   11        17   15        0.16974        106.273        105.913          -15.107          -15.088         0.14142E+00    0.14142E+00    0
   10   12        18   16        0.22465        103.500        103.036          -15.072          -15.056         0.14142E+00    0.14142E+00    0
   11   13        19   17        0.13050        101.999        101.733          -15.061          -15.055         0.14142E+00    0.14142E+00    0
   12   14        20   18        0.05472        101.136        101.025          -15.061          -15.064         0.14142E+00    0.14142E+00    0
   13   15        21   19        0.07190        100.652        100.508          -15.066          -15.072         0.14142E+00    0.14142E+00    0
   14   16        22   20        0.07166        100.401        100.257          -15.069          -15.078         0.14142E+00    0.14142E+00    0
   15   17        23   21        0.01438        100.254        100.225          -15.064          -15.080         0.14142E+00    0.14142E+00    0
   16   18        24   22        0.02179        100.264        100.307          -15.052          -15.081         0.14142E+00    0.14142E+00    0
    1    3        11    9        0.68057         52.606         51.719          -12.907          -12.896         0.14142E+00    0.15806E+00    1
    2    4        12   10        0.43546         50.096         49.558          -12.870          -12.863         0.14142E+00    0.15735E+00    1
    3    5        13   11        0.07451         41.750         41.831          -12.701          -12.724         0.14142E+00    0.16179E+00    1
    4    6        14   12        0.65148         35.690         36.343          -12.651          -12.705         0.14142E+00    0.16684E+00    1
    5    7        15   13        0.26156         47.196         47.466          -13.627          -13.632         0.14142E+00    0.14773E+00    1
    6    8        16   14        0.63719         81.198         80.170          -14.778          -14.752         0.14142E+00    0.14142E+00    0
    7    9        17   15        0.53035        108.682        107.535          -15.206          -15.184         0.14142E+00    0.14142E+00    0
    8   10        18   16        0.08284        113.417        113.229          -15.261          -15.257         0.14142E+00    0.14142E+00    0
    9   11        19   17        0.17551        109.008        109.392          -15.222          -15.238         0.14142E+00    0.14142E+00    0
   10   12        20   18        0.07667        105.553        105.715          -15.201          -15.222         0.14142E+00    0.14142E+00    0
   11   13        21   19        0.05810        103.458        103.337          -15.199          -15.218         0.14142E+00    0.14142E+00    0
   12   14        22   20        0.05771        102.208        102.090          -15.203          -15.222         0.14142E+00    0.14142E+00    0
   13   15        23   21        0.02043        101.487        101.529          -15.202          -15.221         0.14142E+00    0.14142E+00    0
   14   16        24   22        0.04495        101.104        101.194          -15.190          -15.206         0.14142E+00    0.14142E+00    0
    1    3        13   11        0.80664         63.128         61.899          -13.223          -13.206         0.14142E+00    0.15608E+00    1
    2    4        14   12        0.71085         58.220         57.223          -13.154          -13.137         0.14142E+00    0.15594E+00    1
    3    5        15   13        0.36440         46.685         46.250          -12.929          -12.932         0.14142E+00    0.16031E+00    1
    4    6        16   14        0.73622         36.304         37.038          -12.673          -12.739         0.14142E+00    0.16491E+00    1
    5    7        17   15        0.68307         44.333         44.995          -13.527          -13.549         0.14142E+00    0.14735E+00    1
    6    8        18   16        0.78596         77.811         76.598          -14.805          -14.769         0.14142E+00    0.14142E+00    0
    7    9        19   17        0.71723        108.233        106.691          -15.325          -15.303         0.14142E+00    0.14142E+00    0
    8   10        20   18        0.03561        115.123        115.042          -15.430          -15.433         0.14142E+00    0.14142E+00    0
    9   11        21   19        0.32129        110.932        111.647          -15.408          -15.432         0.14142E+00    0.14142E+00    0
   10   12        22   20        0.32458        107.070        107.767          -15.384          -15.413         0.14142E+00    0.14142E+00    0
   11   13        23   21        0.30368        104.553        105.190          -15.365          -15.389         0.14142E+00    0.14142E+00    0
