    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   45   24        53   36        0.09975          6.631          6.598           -3.175           -3.022         0.22361E+00    0.22361E+00    0
   46   26        53   36        1.03511          6.964          7.446           -2.892           -2.913         0.22361E+00    0.25425E+00    1
   47   28        53   36        0.13070          8.852          8.779           -2.771           -2.798         0.22361E+00    0.25167E+00    1
   49   29        53   36        0.96182          5.999          6.443           -2.873           -2.788         0.22361E+00    0.27234E+00    1
   50   30        53   36        2.19416          8.389          9.509           -2.606           -2.865         0.22361E+00    0.23898E+00    1
   43   23        53   37        0.63963          8.899          8.619           -3.386           -3.083         0.22361E+00    0.22361E+00    0
   45   24        53   37        0.19171          5.906          5.963           -3.304           -3.077         0.22361E+00    0.22361E+00    0
   46   26        53   37        0.69926          6.351          6.645           -3.027           -2.973         0.22361E+00    0.25425E+00    1
   47   28        53   37        0.05008          7.647          7.673           -2.861           -2.864         0.22361E+00    0.26026E+00    1
   49   29        53   37        1.53843          4.518          5.376           -3.026           -2.864         0.22361E+00    0.33612E+00    1
   50   30        53   37        1.20484          9.315          8.730           -2.751           -2.926         0.22361E+00    0.23207E+00    1
   43   23        53   38        0.68138          7.817          8.088           -3.456           -3.140         0.22361E+00    0.22361E+00    0
   45   24        53   38        0.96598          5.084          5.370           -3.370           -3.139         0.22361E+00    0.23796E+00    1
   46   26        53   38        0.92049          5.520          5.880           -3.150           -3.043         0.22361E+00    0.26220E+00    1
   47   28        53   38        0.21925          6.506          6.610           -2.871           -2.944         0.22361E+00    0.26916E+00    1
   49   29        53   38        1.67567          3.575          4.461           -3.074           -2.955         0.22361E+00    0.36365E+00    1
   50   30        53   38        0.72564          8.374          8.076           -2.804           -2.981         0.22361E+00    0.22361E+00    0
   43   23        53   39        0.42585          7.481          7.642           -3.546           -3.197         0.22361E+00    0.22361E+00    0
   45   24        53   39        0.28024          4.809          4.883           -3.564           -3.203         0.22361E+00    0.23345E+00    1
   46   26        53   39        0.03007          5.233          5.243           -3.389           -3.118         0.22361E+00    0.25565E+00    1
   47   28        53   39        1.14176          5.120          5.714           -3.119           -3.036         0.22361E+00    0.31000E+00    1
   49   29        53   39        1.03764          3.341          3.740           -3.235           -3.058         0.22361E+00    0.32955E+00    1
   50   30        53   39        0.16056          7.523          7.583           -2.801           -3.030         0.22361E+00    0.22361E+00    0
   45   24        53   41        1.91366          3.364          4.178           -3.888           -3.323         0.22361E+00    0.33643E+00    1
   45   24        53   42        1.24990          2.797          3.180           -4.558           -3.569         0.22361E+00    0.32057E+00    1
   46   26        53   42        1.21636          2.421          2.842           -4.688           -3.652         0.22361E+00    0.36329E+00    1
