    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Observed_Phase  Calculated_Phase  Original_Weight   Final_Weight   C
   46   26        50   32        0.79319         10.623         11.159          -10.835          -10.570         0.22361E+00    0.24901E+00    1
   47   28        50   32        0.06575         13.015         12.972           -9.120           -9.354         0.22361E+00    0.22361E+00    0
   43   23        50   33        0.75841         13.125         13.632          -12.225          -11.530         0.22361E+00    0.22361E+00    0
   45   24        50   33        0.94743          9.076          9.553          -12.405          -11.483         0.22361E+00    0.23251E+00    1
   46   26        50   33        0.68661          9.908         10.331          -11.135          -10.855         0.22361E+00    0.24682E+00    1
   47   28        50   33        0.08000         11.956         11.909           -9.695           -9.724         0.22361E+00    0.22361E+00    0
   43   23        50   35        0.79357         12.402         12.904          -12.360          -11.787         0.22361E+00    0.22361E+00    0
   45   24        50   35        0.97758          8.020          8.473          -12.555          -11.786         0.22361E+00    0.23708E+00    1
   46   26        50   35        0.76041          8.578          9.016          -11.410          -11.288         0.22361E+00    0.25583E+00    1
   47   28        50   35        0.41790         10.033         10.255          -10.160          -10.276         0.22361E+00    0.22849E+00    1
   43   23        50   36        0.93583         11.770         12.334          -11.865          -11.892         0.22361E+00    0.22361E+00    0
   45   24        50   36        1.01655          7.434          7.883          -12.670          -11.910         0.22361E+00    0.24000E+00    1
   46   26        50   36        0.78884          7.867          8.295          -11.445          -11.468         0.22361E+00    0.25913E+00    1
   47   28        50   36        0.56805          9.049          9.343          -10.305          -10.505         0.22361E+00    0.23705E+00    1
   43   23        50   37        1.10427         11.156         11.790          -12.220          -11.975         0.22361E+00    0.22361E+00    0
   45   24        50   37        1.14662          6.861          7.355          -12.520          -12.012         0.22361E+00    0.24617E+00    1
   46   26        50   37        0.92041          7.176          7.655          -11.305          -11.620         0.22361E+00    0.26498E+00    1
   47   28        50   37        0.82975          8.117          8.541          -10.140          -10.701         0.22361E+00    0.24794E+00    1
   43   23        50   38        1.30875         10.577         11.292          -12.130          -12.040         0.22361E+00    0.22361E+00    0
   45   24        50   38        1.25750          6.377          6.901          -12.535          -12.094         0.22361E+00    0.25054E+00    1
   46   26        50   38        0.99814          6.607          7.100          -11.345          -11.749         0.22361E+00    0.26855E+00    1
   47   28        50   38        0.97995          7.363          7.846          -10.210          -10.870         0.22361E+00    0.25464E+00    1
   43   23        50   39        1.33678         10.095         10.793          -12.455          -12.109         0.22361E+00    0.22361E+00    0
   45   24        50   39        1.21529          5.995          6.471          -12.510          -12.181         0.22361E+00    0.25083E+00    1
   46   26        50   39        0.93977          6.141          6.572          -11.545          -11.888         0.22361E+00    0.26853E+00    1
   47   28        50   39        0.94855          6.751          7.185          -10.360          -11.053         0.22361E+00    0.25619E+00    1
   45   24        50   42        1.80398          3.960          4.577          -12.240          -12.739         0.22361E+00    0.28321E+00    1
   43   23        52   26        0.42801         19.928         20.360           -9.855           -9.551         0.22361E+00    0.22361E+00    0
   45   24        52   26        0.20639         21.966         21.741           -8.470           -9.064         0.22361E+00    0.22361E+00    0
   43   23        52   28        0.54769         15.283         15.707          -10.630          -10.500         0.22361E+00    0.22361E+00    0
   45   24        52   28        0.20116         14.828         14.977           -9.585          -10.225         0.22361E+00    0.22361E+00    0
   46   26        52   28        0.50846         16.659         17.087           -7.650           -8.911         0.22361E+00    0.22361E+00    0
   43   23        52   29        0.19695         15.881         16.038          -10.545          -10.769         0.22361E+00    0.22361E+00    0
   45   24        52   29        0.13836         14.665         14.767          -10.290          -10.561         0.22361E+00    0.22361E+00    0
   46   26        52   29        0.06070         15.918         15.874           -8.260           -9.465         0.22361E+00    0.22361E+00    0
   43   23        52   30        0.36167         17.020         17.331          -11.030          -10.953         0.22361E+00    0.22361E+00    0
   45   24        52   30        0.36987         15.257         15.542          -10.720          -10.793         0.22361E+00    0.22361E+00    0
   46   26        52   30        0.18357         16.628         16.781           -9.130           -9.843         0.22361E+00    0.22361E+00    0
   47   28        52   30        1.44879         19.229         17.885           -6.870           -8.407         0.22361E+00    0.22361E+00    0
   43   23        52   31        0.37819         17.873         18.214          -11.255          -11.109         0.22361E+00    0.22361E+00    0
   45   24        52   31        0.47655         15.443         15.816          -11.490          -10.988         0.22361E+00    0.22361E+00    0
   46   26        52   31        0.36480         16.905         17.216           -9.850          -10.153         0.22361E+00    0.22361E+00    0
   47   28        52   31        0.94961         20.204         19.267           -7.935           -8.827         0.22361E+00    0.22361E+00    0
   49   29        52   31        0.49275         15.396         15.021           -6.675           -8.276         0.22361E+00    0.22361E+00    0
   43   23        52   32        0.21354         18.498         18.697          -11.780          -11.272         0.22361E+00    0.22361E+00    0
   45   24        52   32        0.44362         15.304         15.647          -11.380          -11.188         0.22361E+00    0.22361E+00    0
   46   26        52   32        0.46867         16.772         17.185          -10.205          -10.459         0.22361E+00    0.22775E+00    1
   47   28        52   32        0.53075         20.347         19.814           -8.570           -9.225         0.22361E+00    0.22361E+00    0
   49   29        52   32        0.23693         14.441         14.612           -7.465           -8.762         0.22361E+00    0.22361E+00    0
   50   30        52   32        0.49918         11.389         11.108           -8.690           -8.339         0.22361E+00    0.22361E+00    0
   43   23        52   33        0.08614         18.776         18.857          -11.705          -11.425         0.22361E+00    0.22361E+00    0
   45   24        52   33        0.31267         14.931         15.166          -11.860          -11.374         0.22361E+00    0.22361E+00    0
   46   26        52   33        0.23900         16.609         16.808          -10.440          -10.734         0.22361E+00    0.22361E+00    0
   47   28        52   33        0.68047         20.495         19.809           -9.010           -9.575         0.22361E+00    0.22361E+00    0
   49   29        52   33        0.10345         13.652         13.721           -8.015           -9.181         0.22361E+00    0.22361E+00    0
   50   30        52   33        0.45808         10.385         10.150          -10.545           -8.852         0.22361E+00    0.22361E+00    0
   43   23        52   35        0.03370         18.708         18.739          -11.720          -11.675         0.22361E+00    0.22361E+00    0
   45   24        52   35        0.24267         13.848         14.017          -11.820          -11.669         0.22361E+00    0.22361E+00    0
   46   26        52   35        0.21371         15.668         15.836          -10.585          -11.154         0.22361E+00    0.22414E+00    1
   47   28        52   35        0.38436         19.695         19.320           -9.130          -10.099         0.22361E+00    0.22361E+00    0
   49   29        52   35        0.53500         11.737         12.055           -8.270           -9.798         0.22361E+00    0.22361E+00    0
   50   30        52   35        0.22785          8.420          8.512          -13.195           -9.584         0.22361E+00    0.22361E+00    0
   43   23        52   36        0.04249         18.178         18.216          -11.450          -11.775         0.22361E+00    0.22361E+00    0
   45   24        52   36        0.24103         13.022         13.180          -11.770          -11.789         0.22361E+00    0.22361E+00    0
   46   26        52   36        0.18012         14.787         14.922          -10.530          -11.327         0.22361E+00    0.22451E+00    1
   47   28        52   36        0.30655         18.620         18.337           -9.120          -10.315         0.22361E+00    0.22361E+00    0
   49   29        52   36        0.67756         10.608         10.973           -8.295          -10.053         0.22361E+00    0.22361E+00    0
   50   30        52   36        0.40723          7.465          7.615          -14.300           -9.883         0.22361E+00    0.22361E+00    0
   43   23        52   37        0.16614         17.510         17.655          -11.330          -11.854         0.22361E+00    0.22361E+00    0
   45   24        52   37        0.38735         12.146         12.384          -11.380          -11.886         0.22361E+00    0.22361E+00    0
   46   26        52   37        0.29959         13.800         14.018          -10.215          -11.472         0.22361E+00    0.22925E+00    1
   47   28        52   37        0.05938         17.347         17.306           -8.685          -10.499         0.22361E+00    0.22361E+00    0
   49   29        52   37        0.93528          9.501          9.997           -7.875          -10.272         0.22361E+00    0.23360E+00    1
   50   30        52   37        0.69306          6.592          6.850          -15.320          -10.142         0.22361E+00    0.23599E+00    1
   43   23        52   38        0.31208         16.823         17.088          -11.145          -11.914         0.22361E+00    0.22361E+00    0
   45   24        52   38        0.46104         11.397         11.662          -11.790          -11.964         0.22361E+00    0.22361E+00    0
   46   26        52   38        0.34003         12.923         13.157          -10.245          -11.595         0.22361E+00    0.23057E+00    1
   47   28        52   38        0.08447         16.195         16.255           -8.670          -10.657         0.22361E+00    0.22361E+00    0
   49   29        52   38        1.06240          8.592          9.133           -7.820          -10.463         0.22361E+00    0.23989E+00    1
   50   30        52   38        0.83341          5.900          6.199          -16.330          -10.367         0.22361E+00    0.24455E+00    1
   43   23        52   39        0.28434         16.231         16.463          -11.370          -11.980         0.22361E+00    0.22361E+00    0
   45   24        52   39        0.33070         10.772         10.952          -11.660          -12.049         0.22361E+00    0.22361E+00    0
   46   26        52   39        0.37339         12.036         12.273          -10.170          -11.729         0.22361E+00    0.22920E+00    1
   47   28        52   39        0.10790         15.196         15.122           -8.595          -10.830         0.22361E+00    0.22361E+00    0
   49   29        52   39        1.00735          7.839          8.306           -7.615          -10.669         0.22361E+00    0.24000E+00    1
   50   30        52   39        0.75360          5.350          5.598          -17.585          -10.610         0.22361E+00    0.24664E+00    1
   45   24        52   42        1.01559          7.194          7.607          -10.565          -12.609         0.22361E+00    0.23469E+00    1
   50   30        52   42        1.67386          2.763          3.210          -26.610          -12.144         0.22361E+00    0.29970E+00    1
   43   23        53   26        0.37669         20.417         20.805          -10.045           -9.540         0.22361E+00    0.22361E+00    0
   45   24        53   26        0.22471         22.594         22.342           -8.495           -9.057         0.22361E+00    0.22361E+00    0
   43   23        53   28        0.44220         16.089         16.448          -10.865          -10.476         0.22361E+00    0.22361E+00    0
   45   24        53   28        0.16875         15.908         16.043           -9.910          -10.203         0.22361E+00    0.22361E+00    0
   46   26        53   28        0.47461         17.325         17.740           -7.805           -8.898         0.22361E+00    0.22361E+00    0
   43   23        53   29        0.12693         16.948         17.055          -11.400          -10.740         0.22361E+00    0.22361E+00    0
   45   24        53   29        0.03040         16.200         16.225          -10.680          -10.534         0.22361E+00    0.22361E+00    0
   46   26        53   29        0.13421         16.998         16.885           -8.505           -9.444         0.22361E+00    0.22361E+00    0
   43   23        53   30        0.09115         18.672         18.757          -11.410          -10.921         0.22361E+00    0.22361E+00    0
   45   24        53   30        0.17865         17.400         17.556          -11.160          -10.761         0.22361E+00    0.22361E+00    0
   46   26        53   30        0.08481         18.295         18.373           -9.585           -9.816         0.22361E+00    0.22361E+00    0
   47   28        53   30        1.51884         20.406         18.914           -7.245           -8.386         0.22361E+00    0.22361E+00    0
   43   23        53   31        0.14282         19.916         20.057          -12.310          -11.073         0.22361E+00    0.22361E+00    0
   45   24        53   31        0.35090         18.010         18.328          -11.910          -10.953         0.22361E+00    0.22361E+00    0
   46   26        53   31        0.25040         19.172         19.414          -10.345          -10.122         0.22361E+00    0.22361E+00    0
   47   28        53   31        1.05865         22.223         21.078           -8.500           -8.799         0.22361E+00    0.22361E+00    0
   49   29        53   31        0.60901         17.858         17.323           -7.095           -8.230         0.22361E+00    0.22361E+00    0
   43   23        53   32        0.02105         20.935         20.936          -12.285          -11.233         0.22361E+00    0.22361E+00    0
   45   24        53   32        0.34209         18.235         18.549          -12.160          -11.149         0.22361E+00    0.22361E+00    0
   46   26        53   32        0.32564         19.628         19.950          -10.900          -10.422         0.22361E+00    0.22361E+00    0
   47   28        53   32        0.68015         23.245         22.468           -9.360           -9.189         0.22361E+00    0.22361E+00    0
   49   29        53   32        0.04668         17.925         17.965           -8.100           -8.701         0.22361E+00    0.22361E+00    0
   50   30        53   32        0.56066         14.621         14.217           -6.615           -8.247         0.22361E+00    0.22361E+00    0
